data_careerId,featured,providerName,updatedAt,resource_tag
63e53d0f3f747a7a197b9808,Don't have a working computer at home? Would you like free access to the internet? Register for your chance to be selected!,Compudopt Dallas,2024-11-22T03:05:40Z,supplies
63e53d0f3f747a7a197b9808,Don't have a working computer at home? Would you like free access to the internet? Register for your chance to be selected!,Compudopt Dallas,2024-11-22T03:05:40Z,life resources
63e53d123f747a7a197b980e,"Dallas City Hall can help you with social services, housing assistance, free legal aid, food assistance and much more.",Dallas City Hall,2024-11-22T03:07:09Z,life resources
63e53d123f747a7a197b980e,"Dallas City Hall can help you with social services, housing assistance, free legal aid, food assistance and much more.",Dallas City Hall,2024-11-22T03:07:09Z,legal
63e53d123f747a7a197b980e,"Dallas City Hall can help you with social services, housing assistance, free legal aid, food assistance and much more.",Dallas City Hall,2024-11-22T03:07:09Z,housing
63e53d123f747a7a197b980e,"Dallas City Hall can help you with social services, housing assistance, free legal aid, food assistance and much more.",Dallas City Hall,2024-11-22T03:07:09Z,food
63e53d133f747a7a197b9812,Take a short assessment to help you explore future careers based on your personality and passions.,ASA Futurescape,2023-12-20T04:19:07Z,job search
63e53d153f747a7a197b9818,Check to see if you may be eligible for free Lyft rides to help you get a job.,Lyft,2023-12-20T04:19:07Z,transportation
63e53d163f747a7a197b981c,Find scholarships and in-person help to get your high school diploma/GED.,Dallas Library,2024-11-22T03:07:34Z,life resources
63e53d163f747a7a197b981c,Find scholarships and in-person help to get your high school diploma/GED.,Dallas Library,2024-11-22T03:07:34Z,education
63e53d173f747a7a197b981e,"We are helping young adults to prepare for continuing education, successful transition into adulthood, and long-term success.",Workforce Solutions Dallas,2024-11-22T03:33:58Z,career support
63e53d173f747a7a197b981e,"We are helping young adults to prepare for continuing education, successful transition into adulthood, and long-term success.",Workforce Solutions Dallas,2024-11-22T03:33:58Z,coaching
63e53d173f747a7a197b981e,"We are helping young adults to prepare for continuing education, successful transition into adulthood, and long-term success.",Workforce Solutions Dallas,2024-11-22T03:33:58Z,financial
63e53d173f747a7a197b981e,"We are helping young adults to prepare for continuing education, successful transition into adulthood, and long-term success.",Workforce Solutions Dallas,2024-11-22T03:33:58Z,job search
63e53d173f747a7a197b981e,"We are helping young adults to prepare for continuing education, successful transition into adulthood, and long-term success.",Workforce Solutions Dallas,2024-11-22T03:33:58Z,life resources
63e53d173f747a7a197b981e,"We are helping young adults to prepare for continuing education, successful transition into adulthood, and long-term success.",Workforce Solutions Dallas,2024-11-22T03:33:58Z,young adults
63e53d183f747a7a197b9822,"Students of Bryan Adams, Lincoln, Madison,  Samuel,  Spruce, and Woodrow HS can get tools to prepare for high-demand and high wage jobs.",Dallas Independent School DIstrict,2024-11-22T03:07:23Z,education
63e53d183f747a7a197b9822,"Students of Bryan Adams, Lincoln, Madison,  Samuel,  Spruce, and Woodrow HS can get tools to prepare for high-demand and high wage jobs.",Dallas Independent School DIstrict,2024-11-22T03:07:23Z,career support
63e53d183f747a7a197b9822,"Students of Bryan Adams, Lincoln, Madison,  Samuel,  Spruce, and Woodrow HS can get tools to prepare for high-demand and high wage jobs.",Dallas Independent School DIstrict,2024-11-22T03:07:23Z,life resources
63e53d183f747a7a197b9822,"Students of Bryan Adams, Lincoln, Madison,  Samuel,  Spruce, and Woodrow HS can get tools to prepare for high-demand and high wage jobs.",Dallas Independent School DIstrict,2024-11-22T03:07:23Z,young adults
63e53d183f747a7a197b9822,"Students of Bryan Adams, Lincoln, Madison,  Samuel,  Spruce, and Woodrow HS can get tools to prepare for high-demand and high wage jobs.",Dallas Independent School DIstrict,2024-11-22T03:07:23Z,employment services
63e53d1d3f747a7a197b982a,"Develop essential work preparation digital training and learn job-ready skills from anywhere with our video-based lessons, free of charge!",Google for Education,2024-11-22T03:16:08Z,life resources
63e53d1d3f747a7a197b982a,"Develop essential work preparation digital training and learn job-ready skills from anywhere with our video-based lessons, free of charge!",Google for Education,2024-11-22T03:16:08Z,education
63e53d1f3f747a7a197b9830,"Find workforce services across the country, and get free help for career and employment-related needs.",CareerOneStop,2024-03-08T22:25:32Z,2nd chance
63e53d1f3f747a7a197b9830,"Find workforce services across the country, and get free help for career and employment-related needs.",CareerOneStop,2024-03-08T22:25:32Z,coaching
63e53d1f3f747a7a197b9830,"Find workforce services across the country, and get free help for career and employment-related needs.",CareerOneStop,2024-03-08T22:25:32Z,job search
63e53d1f3f747a7a197b9830,"Find workforce services across the country, and get free help for career and employment-related needs.",CareerOneStop,2024-03-08T22:25:32Z,employment services
63e53d213f747a7a197b9834,"Receive support services and educational benefits for job seekers, and youth, aged 16-24 at no cost!",East Bay Works (EBW),2024-11-22T03:08:49Z,job search
63e53d213f747a7a197b9834,"Receive support services and educational benefits for job seekers, and youth, aged 16-24 at no cost!",East Bay Works (EBW),2024-11-22T03:08:49Z,career support
63e53d213f747a7a197b9834,"Receive support services and educational benefits for job seekers, and youth, aged 16-24 at no cost!",East Bay Works (EBW),2024-11-22T03:08:49Z,education
63e53d213f747a7a197b9834,"Receive support services and educational benefits for job seekers, and youth, aged 16-24 at no cost!",East Bay Works (EBW),2024-11-22T03:08:49Z,life resources
63e53d213f747a7a197b9834,"Receive support services and educational benefits for job seekers, and youth, aged 16-24 at no cost!",East Bay Works (EBW),2024-11-22T03:08:49Z,coaching
63e53d213f747a7a197b9834,"Receive support services and educational benefits for job seekers, and youth, aged 16-24 at no cost!",East Bay Works (EBW),2024-11-22T03:08:49Z,networking
63e53d213f747a7a197b9836,An employment and career resource center offering free services to job seekers and career changers.,Tri-Valley Career Center,2024-11-22T03:32:19Z,coaching
63e53d213f747a7a197b9836,An employment and career resource center offering free services to job seekers and career changers.,Tri-Valley Career Center,2024-11-22T03:32:19Z,financial
63e53d213f747a7a197b9836,An employment and career resource center offering free services to job seekers and career changers.,Tri-Valley Career Center,2024-11-22T03:32:19Z,life resources
63e53d213f747a7a197b9836,An employment and career resource center offering free services to job seekers and career changers.,Tri-Valley Career Center,2024-11-22T03:32:19Z,career support
63e53d213f747a7a197b9836,An employment and career resource center offering free services to job seekers and career changers.,Tri-Valley Career Center,2024-11-22T03:32:19Z,job search
63e53d223f747a7a197b9838,"Are you searching for work, but not finding the success you’d like? Are you not sure where to even begin? JVS is here for anyone who needs help finding a job!",JVS (Jewish Vocational Service),2024-11-22T03:17:54Z,coaching
63e53d223f747a7a197b9838,"Are you searching for work, but not finding the success you’d like? Are you not sure where to even begin? JVS is here for anyone who needs help finding a job!",JVS (Jewish Vocational Service),2024-11-22T03:17:54Z,education
63e53d223f747a7a197b9838,"Are you searching for work, but not finding the success you’d like? Are you not sure where to even begin? JVS is here for anyone who needs help finding a job!",JVS (Jewish Vocational Service),2024-11-22T03:17:54Z,life resources
63e53d233f747a7a197b983a,"17-24 year old's living in a Bridges city, can get help learning skills and finding a job.",Bridges,2024-11-22T02:52:06Z,coaching
63e53d233f747a7a197b983c,Find additional support outside of the classroom in order to be successful academically.,Life Resources from Seminole State College,2024-11-22T03:19:05Z,transportation
63e53d233f747a7a197b983c,Find additional support outside of the classroom in order to be successful academically.,Life Resources from Seminole State College,2024-11-22T03:19:05Z,medical
63e53d233f747a7a197b983c,Find additional support outside of the classroom in order to be successful academically.,Life Resources from Seminole State College,2024-11-22T03:19:05Z,food
63e53d233f747a7a197b983c,Find additional support outside of the classroom in order to be successful academically.,Life Resources from Seminole State College,2024-11-22T03:19:05Z,life resources
63e53d233f747a7a197b983c,Find additional support outside of the classroom in order to be successful academically.,Life Resources from Seminole State College,2024-11-22T03:19:05Z,education
63e53d233f747a7a197b983c,Find additional support outside of the classroom in order to be successful academically.,Life Resources from Seminole State College,2024-11-22T03:19:05Z,financial
63e53d233f747a7a197b983c,Find additional support outside of the classroom in order to be successful academically.,Life Resources from Seminole State College,2024-11-22T03:19:05Z,childcare
63e53d243f747a7a197b983e,"Find resources from organizations, local institutions and businesses to help you transform your life.",Get There Florida,2024-11-22T03:13:03Z,financial
63e53d243f747a7a197b983e,"Find resources from organizations, local institutions and businesses to help you transform your life.",Get There Florida,2024-11-22T03:13:03Z,education
63e53d243f747a7a197b983e,"Find resources from organizations, local institutions and businesses to help you transform your life.",Get There Florida,2024-11-22T03:13:03Z,job search
63e53d243f747a7a197b983e,"Find resources from organizations, local institutions and businesses to help you transform your life.",Get There Florida,2024-11-22T03:13:03Z,career support
63e53d243f747a7a197b983e,"Find resources from organizations, local institutions and businesses to help you transform your life.",Get There Florida,2024-11-22T03:13:03Z,veterans
63e53d243f747a7a197b983e,"Find resources from organizations, local institutions and businesses to help you transform your life.",Get There Florida,2024-11-22T03:13:03Z,life resources
63e53d243f747a7a197b983e,"Find resources from organizations, local institutions and businesses to help you transform your life.",Get There Florida,2024-11-22T03:13:03Z,coaching
