WPA_id,new_job,skillup_find_new_job,match_count,target
WPA_151800,1,1,5,1
WPA_150764,1,1,5,1
WPA_150409,1,1,5,1
WPA_149009,1,1,5,1
WPA_2141,1,1,5,1
WPA_152793,1,1,5,1
WPA_1523,1,1,2,1
WPA_147222,1,1,5,1
WPA_1321,1,1,4,1
WPA_144614,1,1,6,1
WPA_145009,1,1,5,1
WPA_143557,1,1,5,1
WPA_144091,1,1,5,1
WPA_142626,1,1,5,1
WPA_142979,1,1,5,1
WPA_141842,1,1,6,1
WPA_141958,1,1,5,1
WPA_140520,1,1,5,1
WPA_140626,1,1,5,1
WPA_140680,1,1,5,1
WPA_140960,1,1,5,1
WPA_137895,1,1,5,1
WPA_137921,1,1,6,1
WPA_138618,1,1,5,1
WPA_138960,1,1,5,1
WPA_140248,1,1,6,1
WPA_137218,1,1,5,1
WPA_137697,1,1,5,1
WPA_133434,1,1,6,1
WPA_131655,1,1,5,1
WPA_129712,1,1,6,1
WPA_130923,1,1,6,1
WPA_128644,1,1,5,1
WPA_128857,1,1,5,1
WPA_129372,1,1,5,1
WPA_127899,1,1,6,1
WPA_127914,1,1,5,1
WPA_126843,1,1,6,1
WPA_125836,1,1,5,1
WPA_124648,1,1,5,1
WPA_2607,1,1,3,1
WPA_122422,1,1,5,1
WPA_122973,1,1,6,1
WPA_121793,1,1,5,1
WPA_121919,1,1,6,1
WPA_119827,1,1,6,1
WPA_120966,1,1,5,1
WPA_121217,1,1,5,1
WPA_118225,1,1,5,1
WPA_115668,1,1,5,1
WPA_116184,1,1,6,1
WPA_114874,1,1,5,1
WPA_114912,1,1,5,1
WPA_113402,1,1,5,1
WPA_113471,1,1,5,1
WPA_114096,1,1,6,1
WPA_113358,1,1,6,1
WPA_110955,1,1,6,1
WPA_111874,1,1,5,1
WPA_110475,1,1,6,1
WPA_109349,1,1,5,1
WPA_109879,1,1,6,1
WPA_109027,1,1,6,1
WPA_109030,1,1,5,1
WPA_107875,1,1,5,1
WPA_106897,1,1,5,1
WPA_106913,1,1,5,1
WPA_107357,1,1,5,1
WPA_107397,1,1,5,1
WPA_105633,1,1,5,1
